datetime,W,Q,Q_sigma
2021-05-19T10:11:07Z,1.32588,17.988588282880507,0.7213791015192726
2021-04-29T11:39:11Z,0.862584,3.182926824327167,0.20461672443316797
2021-04-29T10:32:36Z,0.865632,3.1136638175631353,0.187455270644586
2021-03-22T10:41:00Z,0.6888479999999999,0.9393462569424381,0.05463544555627821
2021-02-08T11:07:30Z,0.710184,1.1197953618499583,0.07541478966809678
2020-12-30T12:23:30Z,0.691896,0.9111568361601021,0.08181816486581317
2020-11-13T09:15:00Z,0.6858,0.8371450942225919,0.06492145629127313
2020-09-29T10:29:00Z,0.6949439999999999,0.9145661844897791,0.055060617231220375
2020-07-07T07:44:00Z,0.813816,2.2274258064039927,0.16137472679396075
2020-06-25T07:34:30Z,0.969264,5.455979565644849,0.20599106522428373
2020-06-09T07:01:16Z,1.344168,18.13628895470438,0.5662963693730992
2020-05-13T07:55:07Z,1.5941040000000002,33.274701677560316,0.7588669209694966
2020-04-17T07:15:30Z,0.7711439999999999,1.7615004125792253,0.1006571664411891
2020-03-09T11:30:29Z,0.765048,1.4666710692326397,0.1352929231268306
2020-01-30T12:25:55Z,0.740664,1.0530752079098877,0.16011041425344819
2019-12-17T12:08:26Z,0.728472,0.9505965400934399,0.11833956927751632
2019-11-14T12:06:56Z,0.7589520000000001,1.5654402301455357,0.13098581517081961
2019-10-07T11:32:00Z,0.810768,2.4522360831825405,0.14763462133503694
2017-06-05T08:15:16Z,1.901952,60.78301734881893,1.355213192791605
2008-05-20T08:24:00Z,1.9354799999999999,69.09310568447998,1.7625792266680136
1993-05-22T05:15:00Z,1.938528,71.92479034367999,3.6696321594094146
1986-06-06T23:00:00Z,2.86512,171.03375341567997,13.089317864600684
